geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
afg,Afghanistan,9.25,9.25,9.26,9.3,9.32,9.36,9.37,9.35,9.32,9.31,9.39,9.43,9.43,9.7,9.98,10.23,10.43,10.6,10.78,10.91,11.11,11.27,11.51,11.65,11.8,12.07,12.32,12.6,12.83,13.07,13.26,13.43
ago,Angola,12.95,12.98,13.05,13.31,13.56,13.49,13,12.92,13.44,13.75,13.8,13.75,14.05,14.39,14.74,14.77,14.95,15.08,15.51,15.82,16.06,16.27,16.42,16.56,16.45,16.61,16.87,17.25,17.54,17.9,18.17,18.3
alb,Albania,9.37,9.42,9.04,8.64,8.36,8.65,8.93,9.19,9.42,9.82,10,10.02,10.27,10.57,10.62,10.62,10.4,9.99,10.13,10.08,10.23,10.27,10.45,10.67,10.86,11.02,11.22,11.29,11.2,11.16,10.36,10.36
and,Andorra,24.17,24.27,24.19,24.56,24.7,24.34,24.25,23.87,23.69,23.41,23.13,23.02,22.67,22.54,22.48,22.19,22.15,21.73,21.76,21.77,21.62,21.58,21.38,21.51,21.6,21.49,21.66,21.76,21.77,21.62,17.62,17.55
are,UAE,22.96,23.57,22.83,23.14,23.07,22.62,23.36,24.57,25.32,25.5,26.72,27.31,26.5,26.96,29.93,33.11,34.76,38.78,40.94,40.58,37.01,36.61,35.97,43.21,49.19,52.58,58.73,57.72,55.68,53.99,44.41,42.5
arg,Argentina,30.58,30.82,30.86,31.05,30.98,31.16,31.9,32.1,32.03,31.73,31.3,31.33,31.29,31.81,31.06,30.61,30.2,29.94,28.99,29,28.59,28.13,27.9,27.51,27.11,26.99,27.04,26.68,25.88,25.81,24.96,23.39
arm,Armenia,28.45,26.91,28.43,28.42,27.04,27.75,29.38,29.14,30.97,31.7,30.86,31.08,30.35,30.71,29.74,27.47,26.55,26.14,26.84,27.1,27.05,26.26,25.61,23.41,22.95,24.45,23.09,20.77,21.06,21.02,20.74,20.13
atg,Antigua and Barbuda,25.87,26.4,27.1,27.88,29.43,29.22,29.16,27.55,26.95,27.65,29.61,28.19,28.89,28.19,28.49,27.33,27.06,28.3,28,29.09,29.88,31.29,32.13,32.3,33.42,33.76,34.61,34.21,34.48,34.81,30.95,30.84
aus,Australia,25.17,25.17,24.7,24.99,25.19,24.49,23.56,22.91,22.34,21.58,21.3,21.01,20.97,20.42,19.87,19.25,18.7,18.49,18.43,18.2,18.05,17.81,17.36,17.29,16.97,16.81,16.44,15.77,15.7,15.89,14.87,15.1
aut,Austria,27.52,27.14,27.22,27.1,26.77,26.27,25.7,24.65,24,23.26,23.2,22.53,22.22,22.4,21.73,21.73,21.36,20.91,20.42,20.64,19.94,19.81,19.51,19.39,19.24,18.77,18.37,17.82,18.26,17.81,17.12,16.39
aze,Azerbaijan,17.01,16.99,17.32,17.45,17.53,17.31,16.87,16.51,16.27,16.06,15.71,15.11,14.99,15.14,15.14,15.46,15.42,15.59,15.76,15.95,16.02,15.79,15.71,15.41,15.32,15.35,15.28,15.19,14.94,15.05,14.4,14.12
bdi,Burundi,15.83,16,16.15,16.36,16.46,16.5,16.58,16.42,16.23,16.04,15.68,15.21,14.83,14.59,14.58,14.38,14.2,13.94,13.76,13.86,13.97,14.04,14.1,14.17,14.28,14.29,14.33,14.49,14.59,14.82,14.88,15.01
