geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
afg,Afghanistan,14.07,14.09,14.15,14.26,14.3,14.4,14.44,14.45,14.42,14.44,14.63,14.75,14.81,15.39,16.05,16.63,17.15,17.64,18.15,18.61,19.11,19.62,20.32,20.87,21.42,22.07,22.8,23.6,24.33,25.12,25.87,26.61
ago,Angola,15.96,16.02,16.14,16.53,16.89,16.79,16.09,15.99,16.78,17.27,17.37,17.38,17.85,18.38,18.93,19.05,19.4,19.7,20.44,21.02,21.53,22.01,22.38,22.73,22.75,23.16,23.73,24.48,25.08,25.82,26.47,26.93
alb,Albania,17.12,17.27,16.59,16.05,15.92,17.21,18.7,19.9,20.9,22.39,23.23,23.8,24.75,25.96,26.81,27.88,28.19,27.72,28.56,28.64,29.37,29.63,30.14,30.69,31.35,32.13,33.04,33.17,33.15,33.42,30.26,30.5
and,Andorra,79.4,80.57,81.26,84.12,87.78,90.78,94.84,96.56,97.59,97.77,97.38,97.59,97.07,97.45,99.01,99.7,101.35,100.95,101.63,102.37,102.17,102.7,102.63,103.35,104.06,104.11,105,105.49,105.61,105.44,85.88,85.39
are,UAE,49.99,53.24,54.09,56.42,57.1,56.04,57.32,60.04,62.72,64.51,68.55,71.85,72.28,74.67,82.05,88.77,92.05,101.76,108.16,109.51,102.52,103.54,104.42,124.48,141.65,151.66,169.23,169.34,166.83,164.4,136.86,131.81
arg,Argentina,51.36,52.27,53.12,54.01,54.93,56.53,58.95,60.31,60.48,60.65,60.69,61.06,61.48,62.27,60.94,61.09,60.87,60.77,59.37,60.03,59.62,59.37,59.56,58.66,57.81,58.4,59.38,59.22,58.15,58.38,56.96,53.86
arm,Armenia,58.42,55.27,59.11,59.23,56.67,58.86,62.9,62.56,66.54,68.11,67.02,67.89,66.99,68.63,67.01,62,60.33,60.18,62.67,63.57,64.22,62.79,61.31,56,55.23,59.44,56.95,50.95,52.04,51.16,49.89,48.84
atg,Antigua and Barbuda,58.5,59.87,62.26,63.47,67.37,67.53,66.3,62.92,62.4,64.66,70.74,67.88,70.07,69.4,70.93,68.46,68.22,71.65,71.9,75.11,77.87,81.53,83.26,83.77,87.65,89.86,92.6,93.05,94.81,96.9,87.18,87.39
aus,Australia,77.06,79.07,79.63,83.21,87.58,89.47,90.79,92,91.97,90.98,91.02,90.93,92.14,91.36,91.14,91.15,90.43,90.75,91.85,91.94,92,91.78,90.46,91.26,90.23,89.49,87.78,83.67,83.09,84.17,78.82,79.28
aut,Austria,77.17,77.18,77.66,78.7,81.08,83.35,84.59,82.88,81.75,80.12,80.88,78.79,78,79.36,77.18,78.94,79.21,78.54,76.25,77.4,75.86,75.99,74.99,74.56,74.95,73.64,72.36,70.91,73.18,70.95,66.29,63.75
