geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
afg,Afghanistan,327.81,327.89,330.97,338.89,346.65,351.51,354.85,356.78,358.19,361.29,366.28,369.34,371.36,390.16,411.42,429.43,447.27,464.13,482.2,500.99,524.77,548.44,579.7,607.84,638.09,676.02,713.66,756.12,800.28,847.37,890.7,932.27
ago,Angola,288.59,297.9,308.74,326.05,343.79,352.16,345.38,353.48,385.61,411.39,427.52,443.26,472.22,504.51,538.99,561.29,591.92,622.51,669.73,713.68,757.45,802.22,844.98,889.22,920.13,970.43,1028.48,1097.88,1162.1,1234.86,1305.74,1366.04
alb,Albania,102.74,106.22,104.62,102.83,102.29,108.87,115.57,122.14,128.28,137.06,142.61,146.39,153.25,160.96,164.9,168.47,168.56,165.63,171.88,174.62,181.04,185.48,192.6,200.4,207.7,213.9,221.07,226.07,227.93,230.53,219.09,221.89
and,Andorra,6.61,7.03,7.42,8.09,8.45,8.61,8.9,9.14,9.41,9.64,9.91,10.27,10.54,11,11.44,11.6,12.02,12.31,12.8,13.24,13.52,12.88,12.71,13.1,13.55,13.91,14.4,15.05,15.56,15.92,13.44,13.86
are,UAE,43.73,47.29,49.32,52.78,56.01,58.51,63.06,68.58,74.19,78.27,84.49,90.66,94.98,101.31,111.31,121.1,128.94,144.93,158.27,169.3,177.63,190.66,203.71,232.23,255.86,271.94,290.61,303.35,318.84,337.37,316.55,332.33
arg,Argentina,5374.02,5519.82,5635.9,5782.86,5884.19,6037.66,6313.74,6488.66,6614.39,6664.64,6700.5,6837.55,6949.73,7208.82,7164.96,7192.19,7232.96,7299.79,7198.21,7352.84,7395.48,7408.63,7472.18,7515.22,7539.55,7647.66,7771.15,7789.97,7666.24,7779.9,7644.23,7277.57
arm,Armenia,452.73,437.55,465.88,471.72,454.36,474.38,514.19,520.54,560.23,576.43,574.76,592.27,588.89,602.19,586.33,545.09,536.13,540.02,560.4,568.9,575.65,566.7,561.47,520.19,513.69,552.46,529.93,487.18,499.29,507.11,509.09,499.58
atg,Antigua and Barbuda,7.71,7.98,8.28,8.64,9.19,9.21,9.4,9.03,8.96,9.41,10.29,10.04,10.52,10.49,10.86,10.66,10.84,11.59,11.75,12.42,13.04,13.96,14.66,15.08,16.01,16.57,17.37,17.62,18.19,18.82,17.1,17.48
aus,Australia,2595.8,2661.93,2680.14,2778.19,2870.06,2861.13,2823.4,2819.24,2824.65,2798.88,2845.27,2887.72,2961.78,2963.33,2962.2,2947.95,2947.35,2991.76,3056.46,3088.98,3144.21,3182.51,3180.6,3248.72,3274.9,3335.58,3355.94,3322.63,3406.06,3539.82,3396.87,3566.01
aut,Austria,1861.38,1839.02,1870.48,1876.09,1864.63,1848.29,1834.25,1783.39,1753.05,1722.16,1748.33,1712.14,1706.41,1731.86,1716.67,1748.22,1736.83,1728.45,1728.11,1779.97,1746.65,1764.73,1773.32,1796.57,1804.81,1785.03,1772.18,1741.68,1808.11,1802.42,1781.8,1707.5
aze,Azerbaijan,505.96,514.07,532.73,543.5,551.17,550.41,544.92,542.04,543.61,546.28,542.8,533.85,543.16,563.36,577.8,604.94,619.9,644.24,671.35,697.96,720.73,733.04,750.84,755.25,771.25,794.57,814.48,833.64,844.13,873.69,856.51,863.71
bdi,Burundi,210.91,215.57,219.69,223.02,223.71,227.46,230.71,228.03,225.41,224.18,221.43,217.27,214.25,214.49,218.95,221.23,224.01,225.76,228.9,238.18,249.25,259.12,268.47,278.31,290.01,301.35,312.12,325.91,339.55,358.4,374.64,391.54
