geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
afg,Afghanistan,513.41,513.69,520.14,534.61,547.92,558.04,565.11,569.91,573.7,580.82,592.64,600.33,607.61,648.81,697.1,738.85,782.29,824.83,870.39,919.99,976.4,1038.85,1119.26,1195.99,1277,1365.32,1460.09,1565.31,1675.4,1795.51,1913.05,2029.96
ago,Angola,384.1,397.61,413.39,438.46,464.21,475.65,464.6,476.26,524.55,563.87,588.21,613.18,657.71,707.31,761.02,796.75,846.17,897.07,974.8,1047.57,1122.8,1200.28,1274.3,1351.82,1410.51,1500.65,1604.56,1729.58,1846.46,1980.36,2116.79,2240.16
alb,Albania,196.33,203.7,201.21,199.99,203.8,226.81,253.14,276.16,296.77,324.98,344.11,359.64,381.01,406.41,426.87,451.65,464.68,464.71,487.04,495.93,515.82,527.01,543.07,559.94,578.22,597.64,619.94,629.17,634.9,644.64,594.47,603.19
and,Andorra,22.47,24.08,25.6,28.43,30.45,32.24,34.69,36.45,37.97,39.1,40.21,41.75,42.95,45.45,48.26,49.76,52.49,54.33,56.69,58.64,59.93,56.94,56.25,57.84,59.85,61.54,63.51,66.2,68.54,70.57,59.32,60.77
are,UAE,112.67,127.15,139.08,153.71,165.95,173.15,184.94,201.37,222.34,240.99,266.92,295.89,320.24,347.52,381.58,408.32,434.76,494.61,551.85,605.71,650.75,715.43,784.53,916.73,1024.62,1096.16,1172.74,1253.22,1354.17,1458.29,1410.17,1468.38
arg,Argentina,8944.15,9254.13,9563.52,9889.78,10219.07,10689.03,11337.24,11798.28,12044.21,12250.01,12455.48,12742.08,13029.36,13441.67,13367.05,13617.13,13805.5,14006.54,13913.34,14330.74,14499.3,14682.65,14961.68,15016.83,15067.81,15499.28,15995.41,16211.82,16166.85,16520.42,16399.27,15753.97
arm,Armenia,940.98,910.05,980.11,998.44,968.34,1023.91,1121.69,1137.37,1222.99,1260.63,1268.07,1311.52,1314.98,1359.38,1332.56,1237.73,1218.01,1231.37,1291.43,1314.5,1337.26,1317.36,1298.8,1201.47,1192.75,1290.41,1249.86,1140.95,1176.85,1182.72,1176.76,1162.7
atg,Antigua and Barbuda,16.35,17,17.95,18.61,20.09,20.56,20.83,20.3,20.64,22.12,24.93,24.7,26.24,26.7,28.06,27.86,28.61,30.78,31.73,33.7,35.74,38.24,39.93,41.07,44.02,46.15,48.57,49.9,51.97,54.3,50.08,51.1
aus,Australia,7692.04,8064.38,8310.32,8868.97,9536.06,9944.07,10299.43,10674.26,10920.75,11041.51,11321.05,11588.3,12016.12,12189.12,12443.94,12728.89,12929.85,13272.07,13726.82,14040.17,14364.89,14648.57,14781.61,15264.23,15456.18,15700.89,15760.16,15442.26,15719.03,16302.44,15618.19,16182.66
aut,Austria,4585.76,4571.3,4652.38,4741.82,4907.13,5066.03,5182.93,5141.86,5124.28,5082.31,5186.22,5103.28,5120.12,5255.68,5210.76,5384.77,5464.05,5488.89,5434.41,5594.55,5518.19,5584.92,5596.25,5643.2,5701.1,5641.95,5598.62,5521.77,5734.74,5641.99,5397.31,5221.77
