"name","2004_bmi","2005_bmi","2006_bmi","2007_bmi","2008_bmi","2004_breast_cancer","2005_breast_cancer","2006_breast_cancer","2007_breast_cancer","2008_breast_cancer"
"Afghanistan",20.77,20.84,20.91,20.99,21.07,697.1,738.85,782.29,824.83,870.39
"Angola",22.64,22.83,23.04,23.26,23.48,761.02,796.75,846.17,897.07,974.8
"Albania",25.4,25.47,25.53,25.59,25.66,426.87,451.65,464.68,464.71,487.04
"Andorra",26.29,26.32,26.37,26.4,26.43,48.26,49.76,52.49,54.33,56.69
"UAE",29.19,29.26,29.39,29.51,29.61,381.58,408.32,434.76,494.61,551.85
"Argentina",26.93,27.06,27.19,27.33,27.47,13367.05,13617.13,13805.5,14006.54,13913.34
"Armenia",26.59,26.73,26.86,27,27.13,1332.56,1237.73,1218.01,1231.37,1291.43
"Antigua and Barbuda",26.96,27.1,27.23,27.37,27.51,28.06,27.86,28.61,30.78,31.73
"Australia",26.47,26.57,26.68,26.78,26.88,12443.94,12728.89,12929.85,13272.07,13726.82
"Austria",24.92,24.96,25.01,25.05,25.09,5210.76,5384.77,5464.05,5488.89,5434.41
"Azerbaijan",26.82,27,27.19,27.36,27.51,1132.77,1198.61,1245.93,1320.82,1407.5
"Burundi",20.98,21.06,21.13,21.2,21.28,299.47,305.82,313.09,318.19,324.32
"Belgium",25.14,25.15,25.15,25.14,25.14,9048.28,9220.91,9248.84,9502.59,9554.77
"Benin",23.36,23.46,23.56,23.65,23.74,269.87,280.69,292.42,308.09,322.72
"Burkina Faso",21.31,21.39,21.47,21.55,21.63,925.27,961.61,995.85,1025.03,1038.54
"Bangladesh",20,20.13,20.27,20.41,20.55,4352.66,4692.27,5014.19,5330.05,5655.71
"Bulgaria",25.33,25.37,25.42,25.47,25.52,4145.93,4242.1,4242.27,4342.8,4400.84
"Bahrain",28.24,28.38,28.53,28.66,28.79,180.29,194.47,216.45,234.93,254.83
"Bahamas",28.65,28.77,28.9,29.02,29.14,135.88,134.24,146.28,152.64,156.21
