"oecd_countries","ave_BC","ave_BMI","ave_GDP"
"Australia",91.064,26.676,43686.567062
"Austria",78.024,25.006,50802.271492
"Belgium",107.862,25.144,46625.967778
"Canada",96.696,26.578,45094.19577
"Chile",34.878,27.666,19382.213944
"Colombia",42.34,26.104,10743.786548
"Costa Rica",58.754,26.78,14808.70262
"Czech Republic",72.936,26.498,31655.634116
"Denmark",100.932,24.988,51481.512404
"Estonia",54.84,25.112,28065.691144
"Finland",92.742,25.528,46409.315634
"France",106.688,24.804,42264.13406
"Germany",94.71,25.678,45287.759368
"Greece",90.894,24.87,35765.856594
"Hungary",68.36,25.858,24713.288658
"Iceland",89.916,25.856,49135.432138
"Ireland",103.124,26.472,56599.220908
"Israel",90.314,27.116,31783.25225
"Italy",99.634,24.788,43905.89358
"Japan",54.41,21.89,38426.29627
"Latvia",53.184,25.462,22475.297428
"Lithuania",56.984,25.948,22961.869838
"Luxembourg",91.958,25.996,107522.91244
"Mexico",39.612,28.492,18848.350588
"Netherlands",107.466,25.348,50412.253784
"New Zealand",97.084,27.156,37705.107622
"Norway",81.76,25.612,63883.826482
"Poland",56.462,25.858,20094.927402
"Portugal",80.924,26.118,31460.316364
"Slovak Republic",58.448,26.224,22080.948258
"Slovenia",74.202,26.526,32778.130878
"South Korea",29.116,23.214,30116.718288
"Spain",74.55,26.244,38057.079386
"Sweden",92.3,25.092,46381.256682
"Switzerland",91.73,24.056,62132.06453
"Turkey",31.842,28.124,18466.9734
